"import Variantconfigurations","Variantenkonfigurationen importieren"
"Credentials","Zugangsdaten"
"export products","Produkte exportieren"
"import orders","Bestellungen importieren"
"import categories","Kategorien importieren"
"list products","Produkte anzeigen"
"select products","Produktauswahl angeben"
"edit product","Produkt bearbeiten"
"only marked products", "Nur ausgewählte Produkte"
"all","Alle"
"start again","nochmal starten"
"best prices","Beste Preise"
"DHL Username","Benutzername"
"This is the username that was given to you by DHL, mostly your email address.","Dies ist der Benutzername, der Ihnen von DHL mitgeteilt wurde. Meisst ist dies Ihre E-Mail Adresse."
"DHL Password","Passwort"
"This is the password that was given to you by DHL.","Dies ist das Passwort, das Ihnen von DHL mitgeteilt wurde."
"Remote system","Entferntes System"
"This is the address of the remote API.","Dies ist die Adresse der entfernten API."
"Tax rates","Steuersätze"
"Default tax rate","Standard-Steuersatz"
"The default tax rate applies to most products","Dieser Steuersatz gilt für die meissten Produkte."
"Reduced tax rate","reduzierter Steuersatz"
"The reduced tax rate applies to special products, such as aliments","Der reduzierte Steuersatz, der für spezielle Produkte - etwa Nahrungsmittel - gilt."
"Shop tree root","Shop Hauptkategorie"
"Marketplace tree root","Marktplatz Hauptkategorie"
"Sync with MeinPaket.de","mit MeinPaket.de abgleichen"
"Maximum stock qty. for MeinPaket.de","maximale Stückzahl für MeinPaket.de"
"Product attributes","Produkteigenschaften"
"Delivery time","Lieferzeit (in Tagen)"
"Please select the product attribute which represents the approx. delivery time","Bitte wählen Sie die Produkteigenschaft, welche die Lieferzeit angibt."
"Default delivery time","Standard-Lieferzeit"
"Delivery time in days if no other delivery time applies","Lieferzeit in Tagen, wenn keine andere Lieferzeit angegeben."
"Marketplace category ID","Marktplatz-Kategorie"
"These products could not be exported","Die folgenden Produkte konnten aufgrund von Fehlern nicht exportiert werden"
"Result","Ergebnis"
"Selection","Auswahl"
"Upload","Upload"
"Common Errors","Allgemeine Fehler"
"Product","Produkt"
"Edit Product","Produkt bearbeiten"
"Error Description","Fehlerbeschreibung"
"Invalid value for field","Ungültiger Wert für Feld"
"Missing value for field","Fehlender Wert für Feld"
"The following products could only be exported as description","Für die folgenden Produkte konnten nur Angebote eingestellt werden"
"Unknown Error","Unbekannter Fehler"
"Product is unknown in MeinPaket marketplace","Produkt ist im MeinPaket Marktplatz nicht bekannt"
"Successfully Exported Products","Erfolgreich exportierte Produkte"
"total","gesamt"
"of","von"
"%s of %s products were successfully exported","%s von %s Produkten wurden erfolgreich exportiert"
"At this place you can choose which products you want to export and start the process.","<b>Hier können Sie Produkte Ihres Magento-Shops nach MeinPaket.de exportieren.</b><p>Wählen Sie in der Auswahlliste unten den Punkt &bdquo;<i>Nur ausgewählte Produkte</i>&rdquo;, um nur die Produkte zu exportieren, deren &bdquo;<i>mit MeinPaket.de abgleichen</i>&rdquo;-Attribut explizit auf &bdquo;<i>Ja</i>&rdquo; gesetzt wurde. Dieses Attribut können Sie in den Produktinformationen im Reiter &bdquo;<i>Allgemein</i>&rdquo; bearbeiten.</p><p>Um alle Produkte Ihres Magento-Shops nach MeinPaket.de zu exportieren, wählen Sie &bdquo;<i>Alle</i>&rdquo; in der unten stehenden Auswahlliste. Berücksichtigt werden hierbei nur Produkte, die einer MeinPaket.de-Marktplatzkategorie zugeordnet sind.</p><p>Sie starten den Vorgang durch Betätigen des &bdquo;<i>Produkte exportieren</i>&rdquo;-Buttons. Dadurch springt der Export in den Upload-Modus. Unterbrechen Sie den Prozess während dessen nicht.</p><p>Wenn alle ausgewählten Produkte an MeinPaket übermittelt wurden, sehen Sie eine Übersicht aller exportierter Produkte sowie eine detaillierte Auflistung aller während des Vorgangs aufgetretenen Fehler.</p>"
"Skipped %s duplicate orders that were already imported previously.","%s Bestellungen übersprungen, die bereits zu einem früheren Zeitpunkt importiert wurden."
"Skipped %s duplicate order that was already imported previously.","%s Bestellung übersprungen, die bereits zu einem früheren Zeitpunkt importiert wurde."
"%s order(s) sucessfully imported.","%s Bestellung(en) erfolgreich importiert."
"start date","Startdatum"
"end date","Enddatum"
"Textual guide for importing orders follows here","<b>Hier können Sie Bestellungen importieren, die Käufer auf MeinPaket.de getätigt haben.</b><p>Legen Sie mit Hilfe der Felder &bdquo;<i>Startdatum</i>&rdquo; und &bdquo;<i>Enddatum</i>&rdquo; einen Zeitraum fest, für den Sie Bestellungen von MeinPaket.de importieren möchten. Sie können das Feld &bdquo;<i>Enddatum</i>&rdquo; leer lassen, um alle Bestellungen vom &bdquo;<i>Startdatum</i>&rdquo; bis zum jetzigen Zeitpunkt zu importieren.</p><p>Starten Sie den Vorgang durch Betätigen des &bdquo;<i>Bestellungen importieren</i>&rdquo;-Buttons. Warten Sie, bis der Vorgang abgeschlossen ist. Sie sehen im Anschluss einen Statusbericht über die importierten Bestellungen.</p>"
"leave empty to load all till now","leer lassen, um alles bis jetzt zu laden"
"please wait","Bitte warten...",
"view orders","Bestellungen ansehen"
"Finished","Abgeschlossen"
"Import Products","Bestellungen importieren"
"Import Categories","MeinPaket.de Kategorien importieren" 
"Category import completed.","Der Import der MeinPaket.de Marktplatz-Kategorien wurde abgeschlossen."
"Textual introduction into category import goes here...","<b>Hier können Sie die Marktplatzkategorien von MeinPaket.de importieren. Die Kategorien finden Sie im Anschluss unter der Kategorie &bdquo;<i>MeinPaket.de marketplace</i>&rdquo; auf der obersten Ebene Ihres Magento-Kategoriebaumes.</b><p>Wenn Sie die MeinPaket.de-Marktplatzkategorien schon einmal importiert haben, werden diese nicht überschrieben, sondern nur mögliche Änderungen und Ergänzungen vorgenommen. Produkte, die Sie bereits MeinPaket.de-Marktplatzkategorien zugeordnet haben, bleiben weiterhin diesen Kategorien zugeordnet.</p><p>Starten Sie den Importvorgang durch Betätigen des &bdquo;<i>Kategorien importieren</i>&rdquo;-Buttons. Der Vorgang kann einige Minuten dauern. Brechen Sie den Vorgang nicht ab.</p>"
"Product export failed. Failed connecting to MeinPaket server.","Produktexport fehlgeschlagen: Konnte keine Verbindung zu MeinPaket.de aufgebaut werden."
"No new orders found.","Es wurden keine neuen Bestellungen gefunden."
"Skipped %s order(s) because: out of stock. Please process the following order(s) at your MeinPaket.de dealer area:","%s Bestellung(en) übersprungen, da nicht auf Lager. Bitte bearbeiten Sie die folgende(n) Bestellung(en) in Ihrem MeinPaket Händlerbereich:"
"Skipped %s order(s) because: some or all of the included products were disabled in Magento after the export to MeinPaket.de . Please process the following order(s) at your MeinPaket.de dealer area:","%s Bestellung(en) übersprungen, da sie Produkte enthielten, die nachträglich zum Export nach MeinPaket.de in Magento deaktiviert wurden. Bitte bearbeiten Sie die folgende(n) Bestellung(en) in Ihrem MeinPaket Händlerbereich:"
"%s was ordered with a different price (%s instead of current price %s). Was the price changed after exporting to MeinPaket.de?","%s wurde zu einem anderen Preis bestellt (%s statt aktuellem Preis %s). Wurde der Preis nachträglich nach dem Export zu MeinPaket.de geändert?"
"Internal error on MeinPaket server","Interner Fehler auf MeinPaket-Server",
"Product stock is lower than zero.","Der Lagerbestand für dieses Produkt ist im negativen Bereich."
"Overview","Übersicht"
"Category","Kategorie"
"Old name","Alter Name"
"Edit Category","Kategorie bearbeiten"
"New categories","Neue Kategorien"
"Renamed categories","Umbenannte Kategorien"
"Deleted categories","Gelöschte Kategorien"
"Successfully imported marketplace categories.","Die Marktplatz-Kategorien wurden erfolgreich mit MeinPaket.de abgeglichen."
"Connecting to MeinPaket.de server failed.","Die Verbindung zum MeinPaket.de-Server konnte nicht aufgebaut werden."
"Connection to MeinPaket.de server timed out.","Der MeinPaket.de-Server antwortet nicht."
"Unknown error","Es ist ein unbekannter Fehler aufgetreten"
"Error","Fehler"
"Added %s new categories.","Es wurden %s neue Kategorien angelegt."
"Renamed %s categories.","Es wurden %s Kategorien umbenannt."
"Deleted %s categories.","Es wurden %s Kategorien gelöscht, die im MeinPaket.de-Marktplatz nicht mehr verfügbar sind."
"Marketplace category structure was up to date. There have been no changes.","Markplatz-Kategoriestruktur ist auf dem neuesten Stand."
